ID,Date,Alp,TL,BTL,P1,Problem 2 Icon,P3,AddCon
20439,2/26/2018 0:00,Considerable,Moderate,Moderate,StormSlabs.png,PersistentSlabs.png,,NOICON.gif
20440,2/27/2018 0:00,Moderate,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20441,2/28/2018 0:00,Moderate,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20442,3/1/2018 0:00,Moderate,Moderate,Moderate,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20443,3/2/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20444,3/3/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
20445,3/4/2018 0:00,Moderate,Moderate,Low,PersistentSlabs.png,NOICON.gif,,NOICON.gif
20446,3/5/2018 0:00,Moderate,Moderate,Low,PersistentSlabs.png,NOICON.gif,,NOICON.gif
20447,3/6/2018 0:00,Moderate,Moderate,Low,PersistentSlabs.png,NOICON.gif,,NOICON.gif
20448,3/8/2018 0:00,High,High,Considerable,StormSlabs.png,PersistentSlabs.png,,NOICON.gif
20449,3/7/2018 0:00,Moderate,Moderate,Low,PersistentSlabs.png,NOICON.gif,,NOICON.gif
20450,3/9/2018 0:00,High,High,High,StormSlabs.png,PersistentSlabs.png,,NOICON.gif
20451,3/10/2018 0:00,Considerable,Considerable,Considerable,StormSlabs.png,PersistentSlabs.png,,NOICON.gif
20452,3/11/2018 0:00,Considerable,Considerable,Considerable,PersistentSlabs.png,NOICON.gif,,Cornice.png
20453,3/12/2018 0:00,Considerable,Considerable,Moderate,PersistentSlabs.png,NOICON.gif,,WindSlabs.png
20454,3/13/2018 0:00,Considerable,Considerable,Moderate,PersistentSlabs.png,NOICON.gif,,LooseWet.png
20455,3/14/2018 0:00,Considerable,Considerable,Considerable,PersistentSlabs.png,LooseWet.png,,Cornice.png
20456,3/15/2018 0:00,Considerable,Considerable,Considerable,PersistentSlabs.png,LooseWet.png,,Cornice.png
20457,3/16/2018 0:00,High,High,High,PersistentSlabs.png,LooseWet.png,,NOICON.gif
20458,3/17/2018 0:00,Considerable,Considerable,Considerable,DeepPersistentSlabs.png,LooseWet.png,,WindSlabs.png
20459,3/18/2018 0:00,Moderate,Moderate,Considerable,DeepPersistentSlabs.png,LooseWet.png,,Cornice.png
20460,3/19/2018 0:00,Considerable,Moderate,Considerable,DeepPersistentSlabs.png,LooseWet.png,,Cornice.png
20461,3/20/2018 0:00,Considerable,Moderate,Low,DeepPersistentSlabs.png,WindSlabs.png,,Cornice.png
20462,3/21/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,WindSlabs.png,,Cornice.png
20463,3/22/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,WindSlabs.png,,NOICON.gif
20464,3/23/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,WindSlabs.png,,NOICON.gif
20465,3/24/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,WindSlabs.png
20466,3/25/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,WindSlabs.png
20467,3/26/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,WindSlabs.png
20468,3/27/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,NOICON.gif
20469,3/28/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,NOICON.gif
20470,3/29/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,Cornice.png
